FECH;ORIGEN;CANTI;FOBDOL;FOBPES
2312;BHR;240;67;268098
2312;BHR;27;73;289854
2312;BHR;8;39;154387
2312;BHR;103;256;1020762
2312;BHR;4;22;87191
2312;BHR;250;45;179530
2312;BHR;11000;1320;5266206
2312;BHR;108;108;428708
2312;BHR;2930;900;3586392
2312;BHR;14125;3531;13826362
2312;BHR;13045;2692;10763323
2312;BHR;250;25;98576
2312;BHR;180;18;70975
2312;BHR;6696;4350;17152575
2312;BHR;407;1504;5931066
2312;BHR;28;212;835922
2312;BRB;1;0;39
2312;BRB;4;517;2047069
2312;BRB;16;2889;11486898
2312;BRB;448;32266;128355689
2312;BRB;3889;61076;243153546
2312;BRB;10;915;3634924
2312;BRB;12;1416;5626209
2312;BRB;3511;47030;187326708
2312;BRB;1;1018;3941949
2312;BEL;544;15917;62321860
2312;BEL;88;2659;10589842
2312;BEL;364;2458;9832579
2312;BEL;320;956;3823914
2312;BEL;360;1080;4319903
2312;BEL;433;3533;14131042
2312;BEL;11880;16368;64654664
2312;BEL;16350;2971;11663463
2312;BEL;656;5576;21438661
2312;BEL;240;2040;7843412
2312;BEL;42;65102;260372492
2312;BEL;58;5440;21668336
2312;BEL;2415;150;599987
2312;BEL;163;6673;25654956
2312;BEL;1323;7173;27578015
2312;BEL;162300;52501;211222548
2312;BEL;1200;15708;62823046
2312;BEL;86895;17038;66961003
2312;BLZ;2;216;845733
2312;BLZ;930;19784;77635944
2312;BLZ;10;310;1213783
2312;BMU;20;785;3099525
2312;BMU;42;2383;9410003
2312;BMU;100;626;2471549
2312;BMU;49;2808;11087105
2312;BMU;169;3366;13292405
2312;BMU;2;2;7107
2312;BLR;3384;3371;13336260
2312;BLR;26270;26325;104161232
2312;BLR;69500;23706;94821986
2312;BLR;7400;1417;5667872
2312;BLR;38550;7553;30213280
2312;BLR;7700;2834;11286256
2312;BLR;3000;570;2270395
2312;BLR;640;235;936837
2312;BLR;9600;3295;13177703
2312;BLR;12800;2432;9727781
2312;BLR;53250;17739;70954443
2312;BLR;85150;16343;65368529
2312;BLR;8000;1440;5662930
2312;BLR;53200;9300;36573048
2312;BLR;1024;3226;12897594
2312;BLR;80;184;735726
2312;BLR;11250;1463;5849868
2312;BLR;8875;2537;10145739
2312;BLR;2400;335;1338701
2312;BLR;1200;163;645743
2312;BLR;10800;1469;5811689
2312;BLR;140;38;147425
2312;BLR;314;474;1836809
2312;BLR;655;345;1337509
2312;BOL;706;17528;69208588
2312;BOL;121;5555;21933232
2312;BOL;80;585;2308711
2312;BOL;3;41;166259
2312;BOL;14;95;383406
2312;BOL;639;2347;9495992
2312;BOL;985;3650;14765255
2312;BOL;835;10996;44481320
2312;BOL;13;45;181428
2312;BOL;95;377;1525695
2312;BOL;31;402;1627716
2312;BOL;70;292;1180800
2312;BOL;80000;2328;8950718
2312;BOL;200;31000;121378330
2312;BOL;32;207;838817
2312;BOL;273;944;3818647
2312;BOL;14;59;240407
2312;BOL;28;2009;7724223
2312;BOL;4;10729;42010293
2312;BOL;435;951;3769044
2312;BOL;5601;12603;50154189
2312;BOL;494;1234;4872182
2312;BOL;395;741;2945285
2312;BOL;27;60;236281
2312;BOL;161;307;1212138
2312;BOL;400;763;3029381
2312;BOL;184;336;1327381
2312;BOL;74;161;639423
2312;BOL;78;184;724557
2312;BOL;6;84;335979
2312;BOL;126;1259;5014621
2312;BOL;18;201;799640
2312;BOL;94;9606;38860204
2312;BOL;1003;3662;14337052
2312;BOL;636;51348;206100053
2312;BOL;384;28678;115121381
2312;BOL;38400;2843;11246725
2312;BOL;383;8713;35245840
2312;BOL;1150;72025;287788938
2312;BOL;33;2533;9960307
2312;BOL;40;22000;87799360
2312;BOL;275;27200;109671316
2312;BOL;114;2810;11165181
2312;BOL;2715;100936;401167253
2312;BOL;1615;57714;228690124
2312;BOL;55;1321;5273708
2312;BOL;58;4402;17312048
2312;BOL;44;3352;13182042
2312;BOL;3461;153237;608459777
2312;BOL;74;674;2684324
2312;BOL;1489;10860;43255097
2312;BOL;6;236;925608
2312;BOL;104;3680;14657992
2312;BOL;458;7665;30322334
2312;BOL;36;270;1054086
2312;BOL;25;146;582783
2312;BOL;29;128;503387
2312;BOL;243;1679;6617397
2312;BOL;49;308;1232435
2312;BOL;166;999;3859476
2312;BOL;342;1189;4663798
2312;BOL;214;915;3571236
2312;BOL;638;1608;6333170
2312;BOL;103;322;1289545
2312;BOL;125;390;1558387
2312;BOL;80;230;911295
2312;BOL;1587;3779;14976846
2312;BOL;449;1560;6208747
2312;BOL;249;775;3078565
2312;BOL;7;65;259183
2312;BOL;23;239;920563
2312;BOL;10;43;171536
2312;BOL;73;337;1346218
2312;BOL;69;333;1326325
2312;BOL;248;2188;8509241
2312;BOL;92;317;1239109
2312;BOL;6;34;129647
2312;BOL;16;99;391080
2312;BOL;402;1598;6219736
2312;BOL;33;221;850434
2312;BOL;84;364;1406427
2312;BOL;142;456;1823580
2312;BOL;54;4708;18692639
2312;BOL;24;566;2217230
2312;BOL;4;3823;14969942
2312;BOL;8;950;3720207
2312;BOL;7;16;62735
2312;BOL;5;12;48873
2312;BOL;107;16588;67102150
2312;BOL;112;5676;22460073
2312;BOL;109;11032;44627919
2312;BOL;125;5328;21316543
2312;BOL;13;6446;26074194
2312;BOL;546;12519;50364635
2312;BOL;7;607;2428294
2312;BOL;6;46;182374
2312;BOL;82;556;2221683
2312;BOL;15;94;376746
2312;BOL;7;19;77669
2312;BOL;30;148;591516
2312;BOL;14;72;287799
2312;BOL;143;401;1603092
2312;BOL;227;482;1927365
2312;BOL;5;52;207970
2312;BOL;20;180;719697
2312;BOL;6;16;64791
2312;BOL;5;36;141980
2312;BOL;58;535;2141055
2312;BOL;14;364;1464448
2312;BOL;33680;3180;12719067
2312;BOL;206;11580;46124638
2312;BOL;314;14072;56051046
2312;BOL;34;258;1045285
2312;BOL;97;648;2621141
2312;BOL;16;100;406464
2312;BOL;90;418;1691792
2312;BOL;22;108;438745
2312;BOL;59;322;1302399
2312;BOL;13;55;221921
2312;BOL;222;480;1942515
2312;BOL;21;34;138468
2312;BOL;16;73;293845
2312;BOL;81;236;954025
2312;BOL;13;29;116502
2312;BOL;634;1349;5457366
2312;BOL;198;848;3430063
2312;BOL;253;792;3204097
2312;BOL;9;94;378633
2312;BOL;93;458;1853641
2312;BOL;6;22;90532
2312;BOL;66;635;2567906
2312;BOL;4;24;96276
2312;BOL;36;170;689467
2312;BOL;65;270;1091198
2312;BOL;19;1591;6434772
2312;BOL;4;4638;18473372
2312;BOL;1;1848;7361372
2312;BOL;130;1434;5479291
2312;BOL;92;651;2488155
2312;BOL;2;25;96316
2312;BOL;36;3339;12926772
2312;BOL;233;11784;45619231
2312;BOL;130;1755;6794395
2312;BOL;838;4014;15987209
2312;BOL;174;411;1638269
2312;BOL;559;1536;6127350
