DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
2311;BOL;1;4;16135
2311;BOL;2;10;40338
2311;BOL;12;1639;6564293
2311;BOL;4750;14120;56128271
2311;BOL;21;139;551899
2311;BOL;49;134;541439
2311;BOL;8;39;156094
2311;BOL;160;595;2361474
2311;BOL;9;36;144143
2311;BOL;437;1140;4581771
2311;BOL;9;30;121578
2311;BOL;62;166;663774
2311;BOL;75;171;692744
2311;BOL;51;185;732187
2311;BOL;10;103;405751
2311;BOL;1112;2763;10993193
2311;BOL;4;76;302215
2311;BOL;269;973;3857551
2311;BOL;48;129;513185
2311;BOL;3;147;582782
2311;BOL;45;492;1947025
2311;BOL;12;212;837306
2311;BOL;5;31;124773
2311;BOL;5;36;145805
2311;BOL;2;61;242216
2311;BOL;1;19;76385
2311;BOL;11;108;437333
2311;BOL;24;223;882741
2311;BOL;22;173;684694
2311;BOL;31;405;1603411
2311;BOL;19;99;391028
2311;BOL;325;1365;5457483
2311;BOL;5;18;71790
2311;BOL;44;161;650879
2311;BOL;63;276;1097017
2311;BOL;90;301;1190972
2311;BOL;10;1233;4986072
2311;BOL;1200;780;3154718
2311;BOL;590;153;620428
2311;BOL;1683;4412;18056956
2311;BOL;738;1910;7817578
2311;BOL;586;3133;12819715
2311;BOL;335;2227;8852088
2311;BOL;161;305;1227595
2311;BOL;3350;7601;30263185
2311;BOL;35;74;295309
2311;BOL;40;72;285252
2311;BOL;216;490;1947635
2311;BOL;819;1539;6163280
2311;BOL;79;177;715642
2311;BOL;36;82;329403
2311;BOL;125;238;949594
2311;BOL;278;532;2143214
2311;BOL;175;332;1331494
2311;BOL;195;416;1660999
2311;BOL;149;2025;8129957
2311;BOL;111;1065;4287142
2311;BOL;1402;154796;619426891
2311;BOL;108;10077;39883319
2311;BOL;46;5714;23508724
2311;BOL;536;64282;264472979
2311;BOL;709;65883;271061480
2311;BOL;44;4397;18090533
2311;BOL;720;32706;130987490
2311;BOL;425;18025;71650600
2311;BOL;1580;52312;209180223
2311;BOL;2087;87374;349939114
2311;BOL;304;5116;20934519
2311;BOL;23;40;160594
2311;BOL;46;98;391758
2311;BOL;12;26;104363
2311;BOL;187;7885;31806750
2311;BOL;20;150;595731
2311;BOL;47;241;962523
2311;BOL;63;433;1733991
2311;BOL;15;110;437254
2311;BOL;467;1772;7088491
2311;BOL;82;286;1143057
2311;BOL;168;681;2715754
2311;BOL;1439;3417;13663219
2311;BOL;247;645;2581767
2311;BOL;145;492;1966468
2311;BOL;122;317;1266489
2311;BOL;7;33;131206
2311;BOL;2407;5418;21645025
2311;BOL;633;2565;10223810
2311;BOL;916;1884;7528198
2311;BOL;14;157;624682
2311;BOL;5;49;195447
2311;BOL;93;593;2360676
2311;BOL;5;16;63480
2311;BOL;178;1591;6356354
2311;BOL;6;29;115826
2311;BOL;416;1869;7474174
2311;BOL;50;111;442559
2311;BOL;42;206;820431
2311;BOL;7;36;144479
2311;BOL;20;80;320004
2311;BOL;354;1409;5622087
2311;BOL;55;5042;20239075
2311;BOL;4048;10;40051
2311;BOL;1026;51937;213682481
2311;BOL;109;11032;45389917
2311;BOL;5;27;108802
2311;BOL;54;360;1458820
2311;BOL;42;237;964199
2311;BOL;197;852;3466076
2311;BOL;222;613;2493818
2311;BOL;27;106;434155
2311;BOL;307;692;2819587
2311;BOL;5;22;87985
2311;BOL;12;40;164021
2311;BOL;208;524;2122094
2311;BOL;117;303;1227288
2311;BOL;17;71;287570
2311;BOL;2340;5183;21171838
2311;BOL;579;2550;10342876
2311;BOL;284;522;2131287
2311;BOL;5;45;182279
2311;BOL;31;246;1007204
2311;BOL;9;88;362048
2311;BOL;142;1325;5386448
2311;BOL;157;462;1872096
2311;BOL;453;1634;6647793
2311;BOL;22;78;319611
2311;BOL;127;480;1957052
2311;BOL;17;69;281061
2311;BOL;208;1042;4232056
2311;BOL;58;5228;21141943
2311;BOL;44;4142;16587677
2311;BOL;129;21867;86672178
2311;BOL;10;11340;45780523
2311;BOL;240;7620;30763388
2311;BOL;19;237;955038
2311;BOL;110;867;3498266
2311;BOL;80;329;1326701
2311;BOL;155;1387;5601238
2311;BOL;477;1567;6326600
2311;BOL;102;603;2434910
2311;BOL;525;4913;19836087
2311;BOL;40;1605;6379224
2311;BOL;9;352;1400623
2311;BOL;150;2220;8857556
2311;BOL;70;1340;5346453
2311;BOL;210;2;8359
2311;BOL;10;10;39807
2311;BOL;14;10;39011
